Execution_Date,Signal_Date,Execution_Open,Execution_High,Execution_Low,Execution_Close,Signal,BUY_Probability,SELL_Probability,WAIT_Probability,BUY_Threshold,SELL_Threshold,True_Target
2024-05-15,2024-05-14,512.01781913004,516.1561825946173,511.3848691803367,515.8640747070312,WAIT,0.22864518360993133,0.1477935583344372,0.6235612580556315,0.55,0.4,1
2024-05-16,2024-05-15,515.9614786446474,517.558414507879,514.6566506998298,514.802734375,WAIT,0.21955729537183766,0.1463659799928155,0.6340767246353471,0.55,0.4,0
2024-05-17,2024-05-16,514.9195214966393,515.6108930215729,513.4686694664939,515.542724609375,WAIT,0.22553399507954522,0.15276770604183404,0.621698298878621,0.55,0.4,0
2024-05-20,2024-05-17,515.6595992673854,517.5973177042522,515.2700824401487,516.13671875,WAIT,0.23264291690122718,0.14357957993737233,0.6237775031614,0.55,0.4,0
2024-05-21,2024-05-20,515.3772058901883,517.5583573493641,515.1727006539206,517.4025268554688,WAIT,0.2102597802730404,0.1591718757127417,0.6305683440142177,0.4,0.4,0
2024-05-22,2024-05-21,516.7113097871478,517.4221156794935,513.7413773413039,515.912841796875,WAIT,0.2358960677824362,0.1248921141461275,0.6392118180714357,0.4,0.4,0
2024-05-23,2024-05-22,518.9605990872589,519.0676954201629,510.93699174891134,512.1444702148438,WAIT,0.21468212997847086,0.12031806950677681,0.6649998005147517,0.4,0.4,0
2024-05-24,2024-05-23,513.9848197975488,516.3412958961842,513.0403275362747,515.5330810546875,WAIT,0.21107220898884815,0.1203763013974626,0.6685514896136886,0.4,0.4,0
2024-05-28,2024-05-24,516.3412489766735,516.5749353115505,513.2642204156563,515.893310546875,WAIT,0.2918991884104075,0.21677214678018855,0.49132866480940296,0.4,0.4,0
2024-05-29,2024-05-28,511.871810616093,513.4589997088932,511.56995584928654,512.28076171875,WAIT,0.2110655078435705,0.14477246294967144,0.6441620292067579,0.4,0.4,0
2024-05-30,2024-05-29,510.7422784507473,511.4044095336918,507.6360688600374,508.8824157714844,WAIT,0.26460497693396384,0.15467441031922252,0.5807206127468132,0.4,0.4,1
2024-05-31,2024-05-30,509.8367770177735,513.6440460717812,504.7441141188356,513.5174560546875,WAIT,0.3022929204812914,0.3021701712349793,0.39553690828372884,0.4,0.4,1
2024-06-03,2024-05-31,515.1240809646227,515.4064420460951,508.87267437322015,513.9360961914062,WAIT,0.28221082464917624,0.37489024835593054,0.34289892699489355,0.4,0.4,0
2024-06-04,2024-06-03,512.631323194632,515.2506664560023,511.17072418863216,514.5106201171875,WAIT,0.23763114501343333,0.31254165520687954,0.44982719977968655,0.4,0.4,0
2024-06-05,2024-06-04,516.8281493311971,520.6451650598835,514.84169649016,520.6256713867188,WAIT,0.25845981626319237,0.31571305763320634,0.4258271261036015,0.4,0.4,1
2024-06-06,2024-06-05,520.9273852180837,521.3558298882758,518.6878123914988,520.6157836914062,WAIT,0.26301269551849454,0.2857920516252021,0.4511952528563034,0.4,0.4,0
2024-06-07,2024-06-06,519.6421291117942,522.787325920015,518.5515533208824,519.9829711914062,WAIT,0.2300190375486091,0.24764670577445205,0.5223342566769383,0.4,0.4,0
2024-06-10,2024-06-07,519.1747616812378,521.9109480214009,518.5807990347079,521.589599609375,WAIT,0.22148720609514194,0.19439008368790942,0.5841227102169488,0.4,0.4,1
2024-06-11,2024-06-10,520.0413486344055,522.9041247005574,518.0743898707741,522.845703125,WAIT,0.22926210867330335,0.21866784988064825,0.5520700414460482,0.4,0.4,1
2024-06-12,2024-06-11,527.4028804771598,529.8274655446977,526.1077992631506,527.1399536132812,WAIT,0.22947678106479458,0.22087696266429385,0.5496462562709111,0.4,0.4,1
2024-06-13,2024-06-12,528.8829186945259,529.0581834417079,525.4164327979901,528.2012939453125,WAIT,0.23171348216766188,0.23958962527268216,0.5286968925596556,0.4,0.4,0
2024-06-14,2024-06-13,526.6725890295746,528.551886156822,525.6696157422205,528.522705078125,WAIT,0.18000559638077782,0.21209118018973833,0.607903223429484,0.4,0.4,0
2024-06-17,2024-06-14,527.8410283318889,534.1216160104203,527.3833430672393,532.7291259765625,WAIT,0.19542435836779576,0.20946890145407837,0.5951067401781263,0.4,0.4,0
2024-06-18,2024-06-17,532.7875604635906,534.2092316077063,532.3688625324717,534.0826416015625,WAIT,0.24236413230425288,0.2531317510656538,0.5045041166300933,0.4,0.4,0
2024-06-20,2024-06-18,535.0077463215187,535.6698774866474,530.8596351285086,532.6318359375,WAIT,0.23703288240544776,0.29422065535895575,0.46874646223559585,0.4,0.4,0
2024-06-21,2024-06-20,531.810221745453,533.0313142277637,530.4621308750893,531.9176635742188,WAIT,0.24132407973340933,0.27347671819146807,0.48519920207512285,0.4,0.4,0
2024-06-24,2024-06-21,531.7417933525489,534.3011982327657,530.0713174980777,530.1885375976562,WAIT,0.2907037148616845,0.35132836128501244,0.35796792385330334,0.4,0.4,0
2024-06-25,2024-06-24,531.4096852385123,532.5917242597523,529.8955424418219,532.2302856445312,WAIT,0.2825616690870803,0.29511551762936244,0.4223228132835571,0.4,0.4,0
2024-06-26,2024-06-25,531.1166742934914,533.6076912884868,530.4719636310322,532.8945922851562,WAIT,0.2673155937523508,0.30732938981605556,0.4253550164315935,0.4,0.4,0
2024-06-27,2024-06-26,532.7578061070262,534.3110621107577,532.0153722749866,533.7346801757812,WAIT,0.23986635682058982,0.27526571342250644,0.48486792975690374,0.4,0.4,0
