Date,Cash,Position_Value,Total_Equity,Signal,In_Position
2021-07-01,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-07-02,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-07-06,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-07-07,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-07-08,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-07-09,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-07-12,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-07-13,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-07-14,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-07-15,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-07-16,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-07-19,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-07-20,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-07-21,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-07-22,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-07-23,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-07-26,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-07-27,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-07-28,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-07-29,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-07-30,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-08-02,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-08-03,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-08-04,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-08-05,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-08-06,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-08-09,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-08-10,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-08-11,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-08-12,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-08-13,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-08-16,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-08-17,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-08-18,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-08-19,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-08-20,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-08-23,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-08-24,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-08-25,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-08-26,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-08-27,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-08-30,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-08-31,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-09-01,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-09-02,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-09-03,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-09-07,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-09-08,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-09-09,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-09-10,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-09-13,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-09-14,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-09-15,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-09-16,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-09-17,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-09-20,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-09-21,10561.850607273842,0.0,10561.850607273842,WAIT,False
2021-09-22,7921.387955455381,2650.6276927756608,10572.015648231041,BUY,True
2021-09-23,7921.387955455381,2682.8323952717697,10604.220350727152,WAIT,True
2021-09-24,7921.387955455381,2687.2514045564603,10608.639360011843,WAIT,True
2021-09-27,7921.387955455381,2679.564046510647,10600.952001966029,WAIT,True
2021-09-28,7921.387955455381,2625.5655578548744,10546.953513310256,WAIT,True
2021-09-29,10550.584170739916,0.0,10550.584170739916,WAIT,False
2021-09-30,10550.584170739916,0.0,10550.584170739916,WAIT,False
2021-10-01,10550.584170739916,0.0,10550.584170739916,WAIT,False
2021-10-04,7912.938128054937,2610.30378131053,10523.241909365468,BUY,True
2021-10-05,7912.938128054937,2637.464103491972,10550.402231546908,WAIT,True
2021-10-06,7912.938128054937,2648.425353855236,10561.363481910174,BUY,True
2021-10-07,7912.938128054937,2671.3228354239923,10584.26096347893,BUY,True
2021-10-08,7912.938128054937,2666.451102526834,10579.389230581772,BUY,True
2021-10-11,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-10-12,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-10-13,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-10-14,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-10-15,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-10-18,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-10-19,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-10-20,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-10-21,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-10-22,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-10-25,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-10-26,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-10-27,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-10-28,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-10-29,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-11-01,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-11-02,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-11-03,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-11-04,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-11-05,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-11-08,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-11-09,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-11-10,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-11-11,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-11-12,10559.290954828894,0.0,10559.290954828894,SELL,False
2021-11-15,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-11-16,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-11-17,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-11-18,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-11-19,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-11-22,10559.290954828894,0.0,10559.290954828894,SELL,False
2021-11-23,10559.290954828894,0.0,10559.290954828894,SELL,False
2021-11-24,10559.290954828894,0.0,10559.290954828894,SELL,False
2021-11-26,10559.290954828894,0.0,10559.290954828894,SELL,False
2021-11-29,10559.290954828894,0.0,10559.290954828894,WAIT,False
2021-11-30,7919.46821612167,2602.244470286282,10521.712686407951,BUY,True
2021-12-01,7919.46821612167,2573.3405998247326,10492.808815946402,WAIT,True
2021-12-02,7919.46821612167,2612.75446158459,10532.22267770626,WAIT,True
2021-12-03,10541.546420261539,0.0,10541.546420261539,SELL,False
2021-12-06,10541.546420261539,0.0,10541.546420261539,WAIT,False
2021-12-07,10541.546420261539,0.0,10541.546420261539,WAIT,False
2021-12-08,10541.546420261539,0.0,10541.546420261539,WAIT,False
2021-12-09,10541.546420261539,0.0,10541.546420261539,WAIT,False
2021-12-10,10541.546420261539,0.0,10541.546420261539,WAIT,False
2021-12-13,10541.546420261539,0.0,10541.546420261539,WAIT,False
2021-12-14,10541.546420261539,0.0,10541.546420261539,WAIT,False
2021-12-15,10541.546420261539,0.0,10541.546420261539,WAIT,False
2021-12-16,7906.159815196153,2600.476962678958,10506.636777875112,BUY,True
2021-12-17,7906.159815196153,2572.8005465933447,10478.960361789497,BUY,True
2021-12-20,7846.096834103231,2617.4576381636693,10463.5544722669,BUY,True
2021-12-21,7846.096834103231,2663.940587491543,10510.037421594774,BUY,True
2021-12-22,7846.096834103231,2690.5766683577995,10536.673502461032,BUY,True
2021-12-23,7846.096834103231,2707.3173965759147,10553.414230679145,BUY,True
2021-12-27,7846.096834103231,2745.6318706481857,10591.728704751416,BUY,True
2021-12-28,10588.661828859233,0.0,10588.661828859233,WAIT,False
2021-12-29,10588.661828859233,0.0,10588.661828859233,WAIT,False
2021-12-30,10588.661828859233,0.0,10588.661828859233,WAIT,False
2021-12-31,10588.661828859233,0.0,10588.661828859233,WAIT,False
2022-01-03,10588.661828859233,0.0,10588.661828859233,WAIT,False
2022-01-04,10588.661828859233,0.0,10588.661828859233,WAIT,False
2022-01-05,10588.661828859233,0.0,10588.661828859233,WAIT,False
2022-01-06,10588.661828859233,0.0,10588.661828859233,WAIT,False
2022-01-07,7941.496371644424,2635.8526492794904,10577.349020923913,BUY,True
2022-01-10,7941.496371644424,2632.5730808017074,10574.06945244613,BUY,True
2022-01-11,7941.496371644424,2656.5511651638512,10598.047536808275,BUY,True
2022-01-12,7941.496371644424,2663.733200024929,10605.229571669352,BUY,True
2022-01-13,7941.496371644424,2627.0308301795208,10568.527201823945,BUY,True
2022-01-14,7926.609564929727,2661.628359095934,10588.23792402566,BUY,True
2022-01-18,7926.609564929727,2614.491942969519,10541.101507899246,WAIT,True
2022-01-19,7926.609564929727,2587.3448684991226,10513.95443342885,WAIT,True
2022-01-20,10488.521636514124,0.0,10488.521636514124,WAIT,False
2022-01-21,10488.521636514124,0.0,10488.521636514124,WAIT,False
2022-01-24,10488.521636514124,0.0,10488.521636514124,WAIT,False
2022-01-25,10488.521636514124,0.0,10488.521636514124,WAIT,False
2022-01-26,7866.391227385593,2577.686631483778,10444.077858869372,BUY,True
2022-01-27,7866.391227385593,2564.957725854145,10431.348953239738,BUY,True
2022-01-28,7866.391227385593,2628.6595488354033,10495.050776220996,WAIT,True
2022-01-31,7866.391227385593,2676.0045650720313,10542.395792457624,WAIT,True
2022-02-01,7866.391227385593,2694.086197078237,10560.47742446383,BUY,True
2022-02-02,10585.832022538383,0.0,10585.832022538383,WAIT,False
2022-02-03,7939.374016903787,2620.143341284715,10559.517358188503,BUY,True
2022-02-04,7939.374016903787,2632.464092000339,10571.838108904127,WAIT,True
2022-02-07,7939.374016903787,2624.0156370277064,10563.389653931494,BUY,True
2022-02-08,7939.374016903787,2645.60535078691,10584.979367690697,BUY,True
2022-02-09,7939.374016903787,2684.326976223201,10623.70099312699,BUY,True
2022-02-10,7931.013183574558,2631.0498450268196,10562.063028601377,BUY,True
2022-02-11,7931.013183574558,2579.169346943961,10510.18253051852,WAIT,True
2022-02-14,7870.761391803644,2617.4342984133436,10488.195690216988,BUY,True
2022-02-15,7870.761391803644,2659.6450516698656,10530.40644347351,BUY,True
2022-02-16,7870.761391803644,2662.6262380868147,10533.387629890458,BUY,True
2022-02-17,7870.761391803644,2605.7487515259695,10476.510143329613,BUY,True
2022-02-18,7870.761391803644,2588.876245797819,10459.637637601463,BUY,True
2022-02-22,7810.96733201824,2588.892856893411,10399.86018891165,BUY,True
2022-02-23,7810.96733201824,2542.9691785199107,10353.936510538151,BUY,True
2022-02-24,7751.627526835108,2691.698935651138,10443.326462486246,BUY,True
2022-02-25,7867.0803904583445,2671.2457461379363,10538.32613659628,BUY,True
2022-02-28,7867.0803904583445,2664.411831623849,10531.492222082194,BUY,True
2022-03-01,7867.0803904583445,2623.8318893005467,10490.912279758892,BUY,True
